CHROM	Start	End	Strand	GeneID
chr3	149318498	149333636	-	ENSG00000163762
chr3	149369022	149377649	-	ENSG00000169908
chr3	149474697	149503394	+	ENSG00000169903
chr3	149517235	149658025	-	ENSG00000018408
chr3	149738472	149752489	-	ENSG00000114744
chr3	149761100	149792554	-	ENSG00000206199
chr3	149813215	149962139	+	ENSG00000082996
chr3	149964904	149970895	-	ENSG00000070087
chr3	150408298	150466422	+	ENSG00000196428
chr3	150541998	150546496	-	ENSG00000120742
chr3	150546787	150586016	+	ENSG00000144895
chr3	150603321	150630436	+	ENSG00000198843
chr3	150659885	150703920	-	ENSG00000163645
chr3	150741125	150763169	-	ENSG00000181788
chr3	150870376	150905439	-	ENSG00000214237
chr3	150882997	150941743	-	ENSG00000260234
chr3	150926567	150972727	-	ENSG00000163646
chr3	151085664	151436653	+	ENSG00000144893
chr3	151197832	151203216	-	ENSG00000174946
chr3	151212117	151278542	-	ENSG00000174944
chr3	151294086	151316820	-	ENSG00000138271
chr3	151326312	151329549	-	ENSG00000181631
chr3	151336843	151384753	-	ENSG00000169313
chr3	151436203	151461061	-	ENSG00000152580
chr3	151733927	151761339	+	ENSG00000197953
chr3	151814116	151828488	+	ENSG00000114771
chr3	151873643	151884619	+	ENSG00000198829
chr3	152268929	152465780	+	ENSG00000152601
chr3	152835131	152841439	+	ENSG00000169860
chr3	153162226	153170627	+	ENSG00000181467
chr3	154121390	154257825	+	ENSG00000114790
chr3	154272546	154324487	-	ENSG00000174953
chr3	154334943	154430190	-	ENSG00000174948
chr3	155080319	155183704	+	ENSG00000196549
chr3	155290227	155293683	-	ENSG00000240045
chr3	155479881	155745071	-	ENSG00000114805
chr3	155762617	155806278	-	ENSG00000174928
chr3	155763043	155854442	-	ENSG00000284952
chr3	155821024	155854427	-	ENSG00000169359
chr3	155870650	155944020	+	ENSG00000163655
chr3	156120578	156538605	+	ENSG00000169282
chr3	156539553	156555117	-	ENSG00000114850
chr3	156674590	156706770	+	ENSG00000163659
chr3	156826353	157046129	+	ENSG00000197980
chr3	157147553	157160147	-	ENSG00000163660
chr3	157259742	157503416	-	ENSG00000197415
chr3	157436850	157443633	+	ENSG00000163661
chr3	158095905	158106420	-	ENSG00000168779
chr3	158110089	158545730	+	ENSG00000174891
chr3	158571194	158606456	+	ENSG00000178053
chr3	158644527	158695581	+	ENSG00000168827
chr3	158666414	158672648	-	ENSG00000079257
chr3	158696892	158732457	-	ENSG00000118849
chr3	158802054	158829716	+	ENSG00000118855
chr3	159273244	159897359	+	ENSG00000283154
chr3	159069319	159263747	+	ENSG00000214216
chr3	159839861	159897360	+	ENSG00000151967
chr3	159988835	159996019	+	ENSG00000168811
chr3	160225422	160228213	+	ENSG00000180044
chr3	160227454	160449829	-	ENSG00000248710
chr3	160256986	160399225	-	ENSG00000068885
chr3	160399650	160434953	+	ENSG00000113810
chr3	160435503	160449786	-	ENSG00000213186
chr3	160495007	160565571	-	ENSG00000186432
chr3	160677160	160678448	+	ENSG00000179674
chr3	160756231	161078902	+	ENSG00000163590
chr3	161083883	161105349	-	ENSG00000169255
chr3	161221311	161252307	+	ENSG00000169251
chr3	161344798	161371517	-	ENSG00000196542
chr3	161496808	161503942	+	ENSG00000182447
chr3	164978898	165078496	-	ENSG00000090402
chr3	165186720	165196384	-	ENSG00000121871
chr3	165772904	165837423	-	ENSG00000114200
chr3	167239843	167380297	-	ENSG00000169064
chr3	167441933	167474042	-	ENSG00000114204
chr3	167478684	167653942	-	ENSG00000174776
chr3	167683298	167734892	-	ENSG00000114209
chr3	167735721	167825569	+	ENSG00000163536
chr3	168008689	168095924	-	ENSG00000173905
chr3	169083507	169663712	-	ENSG00000085276
chr3	169766921	169769561	-	ENSG00000184378
chr3	169773396	169789716	+	ENSG00000085274
chr3	169793003	169812904	-	ENSG00000171757
chr3	169812870	169837773	+	ENSG00000188306
chr3	169839172	169869935	-	ENSG00000114248
chr3	169911572	169939175	+	ENSG00000187033
chr3	169966807	169998373	+	ENSG00000008952
chr3	170037995	170085392	+	ENSG00000173890
chr3	170087584	170181733	-	ENSG00000173889
chr3	170222424	170305977	+	ENSG00000163558
chr3	170357715	170396835	+	ENSG00000136603
chr3	170418868	170434691	+	ENSG00000013297
chr3	170418868	170860380	+	ENSG00000285218
chr3	170459548	170586075	-	ENSG00000013293
chr3	170864875	170870195	-	ENSG00000163584
chr3	170888418	170908637	-	ENSG00000163577
chr3	170996347	171026720	-	ENSG00000163581
chr3	171058414	171460405	-	ENSG00000154310
chr3	171600404	171810483	-	ENSG00000075651
chr3	171843349	171859318	+	ENSG00000186329
chr3	172039578	172401669	+	ENSG00000075420
chr3	172443291	172448456	-	ENSG00000121853
chr3	172505508	172523430	-	ENSG00000121858
chr3	172630249	172711067	-	ENSG00000144959
chr3	172750726	172821474	+	ENSG00000114346
chr3	172889357	173141235	-	ENSG00000144962
chr3	173397744	174294372	+	ENSG00000169760
chr3	174859334	175810548	+	ENSG00000177694
chr3	177019344	177197482	-	ENSG00000177565
chr3	178536436	178844429	+	ENSG00000197584
chr3	178419123	178843300	+	ENSG00000275163
chr3	179017223	179071809	-	ENSG00000172667
chr3	179148357	179240093	+	ENSG00000121879
chr3	179242771	179251114	-	ENSG00000171121
chr3	179323031	179338583	+	ENSG00000121864
chr3	179347709	179394936	+	ENSG00000171109
chr3	179396088	179451470	-	ENSG00000114450
chr3	179562926	179588407	+	ENSG00000136518
chr3	179588285	179604638	-	ENSG00000136522
chr3	179604794	179627647	+	ENSG00000136521
chr3	179604807	179784179	+	ENSG00000288698
chr3	179653040	179789401	+	ENSG00000058056
chr3	179794958	180036937	-	ENSG00000114757
chr3	180602163	180611130	+	ENSG00000163728
chr3	180614008	180679489	-	ENSG00000284862
chr3	180912670	180982753	+	ENSG00000114416
chr3	180983709	180989736	-	ENSG00000205981
chr3	181711925	181714436	+	ENSG00000181449
chr3	182793504	182921629	+	ENSG00000058063
chr3	182938074	182980538	-	ENSG00000043093
chr3	183015218	183099496	-	ENSG00000078070
chr3	183122215	183162734	-	ENSG00000078081
chr3	183178041	183428619	-	ENSG00000053524
chr3	183253253	183273385	+	ENSG00000176597
chr3	183487551	183555706	-	ENSG00000172578
chr3	183635623	183684519	+	ENSG00000114796
chr3	183697797	183812624	+	ENSG00000163872
chr3	183815568	183884889	-	ENSG00000283765
chr3	183815922	183825577	-	ENSG00000180834
chr3	183829271	183884880	-	ENSG00000175193
chr3	183919934	184017884	-	ENSG00000114770
chr3	184031742	184039369	+	ENSG00000186090
chr3	184053047	184060673	+	ENSG00000178084
chr3	184097064	184106995	+	ENSG00000186038
chr3	184135358	184145311	+	ENSG00000145191
chr3	184155377	184173614	+	ENSG00000161202
chr3	184174855	184184091	+	ENSG00000161203
chr3	184186199	184194005	+	ENSG00000161204
chr3	184229585	184242329	+	ENSG00000145198
chr3	184242301	184248962	-	ENSG00000214160
chr3	184249672	184258759	+	ENSG00000284753
chr3	184249695	184293031	+	ENSG00000284917
chr3	184259213	184261553	-	ENSG00000163888
chr3	184276022	184293031	+	ENSG00000145194
chr3	184299241	184309050	+	ENSG00000175166
chr3	184314606	184335353	+	ENSG00000114867
chr3	184337600	184346275	+	ENSG00000175182
chr3	184346185	184361605	-	ENSG00000114859
chr3	184361710	184368591	+	ENSG00000163882
chr3	184371935	184378207	-	ENSG00000090534
chr3	184380054	184389829	+	ENSG00000090539
chr3	184561785	184582408	+	ENSG00000182580
chr3	184710364	184712064	-	ENSG00000177383
chr3	184812166	185052604	+	ENSG00000156931
chr3	185076838	185153060	-	ENSG00000187068
chr3	185190624	185254049	-	ENSG00000113790
chr3	185363136	185489094	+	ENSG00000073803
chr3	185489601	185499035	-	ENSG00000163900
chr3	185506262	185552588	-	ENSG00000163898
chr3	185586295	185633551	+	ENSG00000163904
chr3	185643130	185825042	-	ENSG00000073792
chr3	185914558	185938014	-	ENSG00000136527
chr3	186046314	186109089	-	ENSG00000244405
chr3	186147201	186362234	-	ENSG00000058866
chr3	186538443	186544380	-	ENSG00000213139
chr3	186546067	186567339	-	ENSG00000113838
chr3	186570720	186585793	+	ENSG00000090520
chr3	186581995	186597103	+	ENSG00000283149
chr3	186613060	186621318	+	ENSG00000145192
chr3	186640399	186653141	+	ENSG00000090512
chr3	186666014	186678234	+	ENSG00000113905
chr3	186717359	186744410	+	ENSG00000113889
chr3	186783577	186789897	+	ENSG00000156976
chr3	186789900	186806482	-	ENSG00000163918
chr3	186842710	186858463	+	ENSG00000181092
chr3	186930526	187078553	+	ENSG00000073849
chr3	187120948	187139496	-	ENSG00000163923
chr3	187197486	187201462	+	ENSG00000175077
chr3	187234082	187291737	-	ENSG00000127241
chr3	187368385	187372076	+	ENSG00000136514
chr3	187668912	187670394	-	ENSG00000157005
chr3	187698259	187702557	-	ENSG00000198471
chr3	187721381	187745468	-	ENSG00000113916
chr3	187743686	187746028	+	ENSG00000285938
chr3	188154157	188890671	+	ENSG00000145012
chr3	189171971	189325304	+	ENSG00000188001
chr3	189631389	189897276	+	ENSG00000073282
chr3	189956728	190120897	-	ENSG00000090530
chr3	190305707	190322446	-	ENSG00000163347
chr3	190388163	190412138	+	ENSG00000113946
chr3	190428655	190449901	-	ENSG00000198398
chr3	190514085	190651514	+	ENSG00000196083
chr3	190852737	190862694	-	ENSG00000205835
chr3	191199241	191265615	+	ENSG00000188729
chr3	191267168	191330526	-	ENSG00000188958
chr3	191329394	191398659	+	ENSG00000152492
chr3	191461163	191461456	+	ENSG00000253548
chr3	192139390	192727541	-	ENSG00000114279
chr3	192796815	192917856	-	ENSG00000180611
chr3	193241222	193270855	+	ENSG00000127252
chr3	193274789	193378753	-	ENSG00000187527
chr3	193398967	193554895	-	ENSG00000127249
chr3	193593208	193697811	+	ENSG00000198836
chr3	194136148	194138732	+	ENSG00000114315
chr3	194339768	194351328	-	ENSG00000178772
chr3	194355249	194369743	-	ENSG00000172061
chr3	194394821	194399266	-	ENSG00000178732
chr3	194402677	194487002	-	ENSG00000133657
chr3	194587678	194633419	-	ENSG00000145014
chr3	194640791	194672191	-	ENSG00000041802
chr3	194685883	194689037	+	ENSG00000185112
chr3	195068284	195271159	-	ENSG00000173950
chr3	195274745	195443020	-	ENSG00000114331
chr3	195514428	195543325	-	ENSG00000184203
chr3	195568705	195583940	-	ENSG00000189058
chr3	195720978	195733551	+	ENSG00000176945
chr3	195746771	195811929	-	ENSG00000145113
chr3	195863364	195908551	-	ENSG00000061938
chr3	195908695	195909561	-	ENSG00000289747
chr3	196049284	196082090	-	ENSG00000072274
chr3	196197452	196211400	-	ENSG00000163958
chr3	196216534	196233427	+	ENSG00000163959
chr3	196234368	196287726	-	ENSG00000161217
chr3	196248230	196318222	-	ENSG00000272741
chr3	196291219	196318240	-	ENSG00000213123
chr3	196316082	196338373	-	ENSG00000273331
chr3	196323547	196338388	-	ENSG00000145107
chr3	196347662	196432427	-	ENSG00000163960
chr3	196468783	196503768	-	ENSG00000163961
chr3	196506879	196515346	-	ENSG00000214097
chr3	196554177	196568554	-	ENSG00000185798
chr3	196568660	196589059	+	ENSG00000174013
chr3	196639694	196662004	+	ENSG00000174004
chr3	196712377	196736007	+	ENSG00000163964
chr3	196706277	196712250	-	ENSG00000174007
chr3	196739857	196832647	+	ENSG00000180370
chr3	196867920	196934714	+	ENSG00000119231
chr3	196935406	196942528	-	ENSG00000114503
chr3	196942674	196943543	+	ENSG00000270170
chr3	196946356	196968833	-	ENSG00000119227
chr3	197001740	197029817	-	ENSG00000163975
chr3	197042560	197298612	-	ENSG00000075711
chr3	197509783	197555968	-	ENSG00000161267
chr3	197668867	197736904	-	ENSG00000145016
chr3	197749883	197787596	+	ENSG00000122068
chr3	197791254	197888436	+	ENSG00000186001
chr3	197889077	197959991	-	ENSG00000114473
chr3	197950190	197956610	+	ENSG00000182899
chr3	197960217	198043720	+	ENSG00000185621
chr4	53321	88208	+	ENSG00000272602
chr4	124501	164162	+	ENSG00000250312
chr4	270675	305474	-	ENSG00000186777
chr4	337814	384868	+	ENSG00000131127
chr4	439988	499156	-	ENSG00000182903
chr4	499210	540200	+	ENSG00000174227
chr4	573880	576295	-	ENSG00000273238
chr4	625573	670782	+	ENSG00000133256
chr4	672436	674276	-	ENSG00000169020
chr4	674542	682028	+	ENSG00000215375
chr4	681829	689151	-	ENSG00000169026
chr4	705832	770089	+	ENSG00000185619
chr4	784957	826129	-	ENSG00000168993
chr4	849277	932316	-	ENSG00000178950
chr4	932460	958656	+	ENSG00000127419
chr4	958887	973569	-	ENSG00000145214
chr4	987657	993404	-	ENSG00000145217
chr4	987044	1004564	+	ENSG00000127415
chr4	1011626	1026898	+	ENSG00000127418
chr4	1071478	1113564	-	ENSG00000178222
chr4	1166932	1172583	-	ENSG00000159674
chr4	1211445	1249130	-	ENSG00000159692
chr4	1289891	1340137	+	ENSG00000090316
chr4	1347208	1388049	+	ENSG00000163945
chr4	1402932	1406442	-	ENSG00000235608
chr4	1639887	1684313	-	ENSG00000174137
chr4	1692731	1712319	-	ENSG00000163950
chr4	1721521	1745171	+	ENSG00000013810
chr4	1715952	1721323	-	ENSG00000168936
chr4	1793293	1808867	+	ENSG00000068078
chr4	1811479	1856156	-	ENSG00000168924
chr4	1871393	1982192	+	ENSG00000109685
chr4	1982723	2008974	-	ENSG00000185049
chr4	2041995	2043964	+	ENSG00000243449
chr4	2059327	2069089	+	ENSG00000185818
chr4	2071918	2242121	-	ENSG00000130997
chr4	2080622	2242121	-	ENSG00000290263
chr4	2228349	2242121	-	ENSG00000214367
chr4	2247432	2262109	-	ENSG00000123933
chr4	2269597	2418645	-	ENSG00000159733
chr4	2418974	2462942	+	ENSG00000206113
chr4	2469106	2515857	+	ENSG00000063978
chr4	2512477	2625320	+	ENSG00000290180
chr4	2536647	2732573	+	ENSG00000125386
chr4	2741648	2756336	-	ENSG00000168884
chr4	2793085	2841096	+	ENSG00000087266
chr4	2843844	2930062	+	ENSG00000087274
chr4	2930567	2934825	-	ENSG00000109736
chr4	2937936	2963406	-	ENSG00000087269
chr4	2963571	3040760	+	ENSG00000125388
chr4	3074681	3243957	+	ENSG00000197386
chr4	3249159	3256613	+	ENSG00000188981
chr4	3293021	3439913	+	ENSG00000159788
chr4	3441968	3449486	+	ENSG00000109758
chr4	3463306	3494482	+	ENSG00000175920
chr4	3503612	3532422	-	ENSG00000163956
chr4	3766385	3768526	+	ENSG00000184160
chr4	4188726	4226929	-	ENSG00000163982
chr4	4235542	4248223	-	ENSG00000132406
chr4	4267701	4290154	-	ENSG00000145220
chr4	4290251	4321783	+	ENSG00000168826
chr4	4387102	4419058	+	ENSG00000168824
chr4	4418968	4542048	-	ENSG00000168818
chr4	4859665	4863936	+	ENSG00000163132
chr4	5014586	5019458	-	ENSG00000170891
chr4	5051480	5500989	+	ENSG00000152953
chr4	5562439	5708559	-	ENSG00000173040
chr4	5711201	5814305	+	ENSG00000072840
chr4	5820764	5893086	-	ENSG00000072832
chr4	5957118	6200555	-	ENSG00000181215
chr4	6026199	6200549	-	ENSG00000152969
chr4	6064977	6070162	-	ENSG00000284684
chr4	6269850	6303265	+	ENSG00000109501
chr4	6320581	6472614	-	ENSG00000074211
chr4	6575189	6623362	+	ENSG00000013288
chr4	6640685	6642729	+	ENSG00000179010
chr4	6674075	6676047	+	ENSG00000170846
chr4	6693878	6697170	+	ENSG00000163993
chr4	6707701	6709865	-	ENSG00000178988
chr4	6716174	6717664	+	ENSG00000186222
chr4	6782727	6884164	+	ENSG00000170871
chr4	6909826	7033114	+	ENSG00000132405
chr4	7040849	7043001	-	ENSG00000173013
chr4	7043372	7057952	+	ENSG00000173011
chr4	7058895	7068064	-	ENSG00000109519
chr4	7192538	7742827	+	ENSG00000184985
chr4	7430285	7434930	-	ENSG00000178597
chr4	7758714	7939861	-	ENSG00000196526
chr4	7965327	8158813	-	ENSG00000163995
chr4	8199290	8241103	+	ENSG00000125089
chr4	8269754	8307098	+	ENSG00000170801
chr4	8366282	8440723	-	ENSG00000087008
chr4	8440777	8476555	+	ENSG00000155275
chr4	8580392	8590023	+	ENSG00000155269
chr4	8592765	8619752	+	ENSG00000109625
chr4	8867048	8871839	-	ENSG00000215612
chr4	9170409	9176730	+	ENSG00000229924
chr4	9210657	9212249	+	ENSG00000231396
chr4	9215405	9216997	+	ENSG00000233136
chr4	9220152	9221744	+	ENSG00000227551
chr4	9224896	9226488	+	ENSG00000232399
chr4	9234385	9236046	+	ENSG00000223569
chr4	9243879	9245471	+	ENSG00000249104
chr4	9248630	9250222	+	ENSG00000250844
chr4	9253378	9254970	+	ENSG00000248920
chr4	9258124	9259716	+	ENSG00000250745
chr4	9262872	9264464	+	ENSG00000249811
chr4	9267619	9269211	+	ENSG00000248933
chr4	9272364	9272914	+	ENSG00000250913
chr4	9325165	9326757	+	ENSG00000232264
chr4	9329911	9331503	+	ENSG00000230430
chr4	9334658	9336250	+	ENSG00000229579
chr4	9339403	9340995	+	ENSG00000227140
chr4	9344148	9345740	+	ENSG00000235780
chr4	9348893	9350485	+	ENSG00000231051
chr4	9353638	9355230	+	ENSG00000231637
chr4	9363129	9364721	+	ENSG00000228856
chr4	9444414	9450666	+	ENSG00000186146
chr4	9826224	10021497	-	ENSG00000109667
chr4	9781634	9784009	+	ENSG00000169676
chr4	10074339	10116799	-	ENSG00000071127
chr4	10439880	10457426	-	ENSG00000178163
chr4	10486395	10684768	-	ENSG00000109684
chr4	11393150	11428894	-	ENSG00000002587
chr4	13367724	13484340	-	ENSG00000157869
chr4	13540830	13544508	-	ENSG00000109705
chr4	13568738	13627725	-	ENSG00000038219
chr4	15002481	15070151	+	ENSG00000137449
chr4	15428033	15446167	+	ENSG00000163145
chr4	15469882	15601552	+	ENSG00000048342
chr4	15604381	15655357	-	ENSG00000118564
chr4	15681827	15690447	+	ENSG00000237765
chr4	15703065	15732787	+	ENSG00000109743
chr4	15778328	15853232	+	ENSG00000004468
chr4	15935577	15938740	-	ENSG00000137440
chr4	15960245	15963175	-	ENSG00000137441
chr4	15968228	16084023	-	ENSG00000007062
chr4	16160505	16226471	-	ENSG00000169762
chr4	16501541	16898645	-	ENSG00000169744
chr4	17486395	17512090	-	ENSG00000151552
chr4	17515165	17527104	+	ENSG00000249581
chr4	17577198	17607970	+	ENSG00000002549
chr4	17614641	17634105	+	ENSG00000118579
chr4	17629306	17781621	-	ENSG00000047662
chr4	17800655	17810757	-	ENSG00000163257
chr4	17810979	17844865	+	ENSG00000109805
chr4	17841187	18021755	-	ENSG00000178177
chr4	20251905	20620561	+	ENSG00000145147
chr4	20700458	20732557	+	ENSG00000163138
chr4	20728606	21948772	-	ENSG00000185774
chr4	22387376	22516066	-	ENSG00000152990
chr4	22692914	22819575	+	ENSG00000249948
chr4	23792021	23890047	-	ENSG00000109819
chr4	24527475	24584554	-	ENSG00000109606
chr4	24795573	24800842	+	ENSG00000109610
chr4	24803514	24913042	-	ENSG00000181982
chr4	24998847	25030946	-	ENSG00000153012
chr4	25120014	25160449	-	ENSG00000109618
chr4	25234033	25279204	+	ENSG00000038210
chr4	25312774	25370383	+	ENSG00000168228
chr4	25377263	25418498	+	ENSG00000053900
chr4	25655851	25678748	+	ENSG00000157765
chr4	25747433	25862988	-	ENSG00000091490
chr4	25914220	25929812	+	ENSG00000250317
chr4	26321014	26434923	+	ENSG00000168214
chr4	26481396	26490484	-	ENSG00000163394
chr4	26584084	26756223	+	ENSG00000109680
chr4	26860841	27025381	+	ENSG00000109689
chr4	30720369	31146800	+	ENSG00000169851
chr4	36066004	36244514	-	ENSG00000047365
chr4	36281616	36347511	+	ENSG00000197057
chr4	37244743	37449463	+	ENSG00000174145
chr4	37453925	37593510	+	ENSG00000154274
chr4	37610634	37686376	-	ENSG00000181826
chr4	37826686	37862937	+	ENSG00000169299
chr4	37891084	38139173	+	ENSG00000065882
chr4	37960398	37961128	+	ENSG00000250254
chr4	38664199	38701517	+	ENSG00000109787
chr4	38772238	38782990	-	ENSG00000174123
chr4	38796255	38804791	-	ENSG00000174125
chr4	38822897	38856817	-	ENSG00000174130
chr4	38867806	38945739	+	ENSG00000197712
chr4	38966744	39032409	-	ENSG00000121895
chr4	39062232	39126233	+	ENSG00000109790
chr4	39182529	39285810	+	ENSG00000157796
chr4	39287456	39366362	-	ENSG00000035928
chr4	39406930	39451533	+	ENSG00000134962
chr4	39454124	39458922	-	ENSG00000163682
chr4	39459056	39479506	+	ENSG00000121897
chr4	39498755	39527439	-	ENSG00000109814
chr4	39546336	39638865	-	ENSG00000163683
chr4	39698136	39782792	+	ENSG00000078140
chr4	39822863	39977911	-	ENSG00000121892
chr4	40056850	40158252	+	ENSG00000078177
chr4	40197031	40246967	+	ENSG00000168421
chr4	40335333	40355217	+	ENSG00000174343
chr4	40423280	40629864	-	ENSG00000163694
chr4	40749955	40811184	+	ENSG00000179299
chr4	40810027	41214542	-	ENSG00000163697
chr4	41143022	41143099	-	ENSG00000289761
chr4	41256928	41268455	+	ENSG00000154277
chr4	41538157	41700044	+	ENSG00000064042
chr4	41744082	41748725	-	ENSG00000109132
chr4	41935429	41960803	+	ENSG00000109133
chr4	41981756	41986465	+	ENSG00000182308
chr4	41990530	42090461	+	ENSG00000014824
chr4	42110853	42152655	-	ENSG00000188848
chr4	42397488	42402487	+	ENSG00000178343
chr4	42408373	42657105	-	ENSG00000124406
chr4	42892713	43030658	+	ENSG00000215203
chr4	44173903	44448809	-	ENSG00000183783
chr4	44622088	44651625	-	ENSG00000177752
chr4	44678420	44700928	+	ENSG00000151806
chr4	44701795	44726556	-	ENSG00000163281
chr4	46035769	46124054	-	ENSG00000163285
chr4	46243548	46390128	-	ENSG00000151834
chr4	46734827	46909245	-	ENSG00000170516
chr4	46918900	46993581	-	ENSG00000109158
chr4	47031567	47426447	+	ENSG00000163288
chr4	47450787	47463702	-	ENSG00000169019
chr4	47485275	47593486	+	ENSG00000145246
chr4	47594001	47838067	-	ENSG00000145244
chr4	47847240	47914583	-	ENSG00000170448
chr4	48016772	48040173	+	ENSG00000163293
chr4	47935977	48016681	-	ENSG00000198515
chr4	48066393	48134250	-	ENSG00000074966
chr4	48135783	48269838	-	ENSG00000135605
chr4	48341529	48426201	+	ENSG00000109171
chr4	48483343	48489526	+	ENSG00000145248
chr4	48490252	48494389	+	ENSG00000182223
chr4	48497357	48780279	-	ENSG00000075539
chr4	48831088	48861815	+	ENSG00000109180
chr4	48885019	48906774	-	ENSG00000145247
chr4	48986275	49062079	+	ENSG00000109182
chr4	51843153	51916837	+	ENSG00000109184
chr4	51993652	52020363	-	ENSG00000188993
chr4	52020706	52038299	-	ENSG00000163069
chr4	52051304	52097299	+	ENSG00000163071
chr4	52590960	52659301	-	ENSG00000109189
chr4	52742553	52751425	-	ENSG00000226887
chr4	52862317	52866835	+	ENSG00000128045
chr4	52872982	53366061	-	ENSG00000184178
chr4	53377641	53460862	+	ENSG00000145216
chr4	53377839	54295272	+	ENSG00000282278
chr4	53459301	53591486	-	ENSG00000072201
chr4	54009789	54064605	-	ENSG00000109220
chr4	54100163	54102498	+	ENSG00000180613
chr4	54229293	54298245	+	ENSG00000134853
chr4	54657957	54740715	+	ENSG00000157404
chr4	55078481	55125595	-	ENSG00000128052
chr4	55346242	55373100	+	ENSG00000128039
chr4	55346228	55388139	+	ENSG00000288695
chr4	55395957	55426175	+	ENSG00000134851
chr4	55427903	55546909	-	ENSG00000134852
chr4	55556519	55592245	-	ENSG00000163440
chr4	55595231	55636298	-	ENSG00000109255
chr4	55819790	55837489	+	ENSG00000250821
chr4	55853648	55905086	+	ENSG00000090989
chr4	55948945	56033361	+	ENSG00000174799
chr4	56049098	56330609	+	ENSG00000109265
chr4	56338290	56387491	-	ENSG00000157426
chr4	56393362	56435615	-	ENSG00000128059
chr4	56436260	56464578	+	ENSG00000128050
chr4	56467617	56503681	+	ENSG00000174780
chr4	56505791	56524453	+	ENSG00000196503
chr4	56530606	56603507	+	ENSG00000249693
chr4	56647998	56681296	-	ENSG00000171476
chr4	56809861	56821701	-	ENSG00000128040
chr4	56907900	56935844	+	ENSG00000084093
chr4	56963350	56977606	-	ENSG00000084092
chr4	56978896	57031158	+	ENSG00000047315
chr4	57030773	57110385	-	ENSG00000163453
chr4	61200326	62078335	+	ENSG00000150471
chr4	64277702	64409450	-	ENSG00000205678
chr4	65319567	65670489	-	ENSG00000145242
chr4	67468762	67545503	-	ENSG00000145241
chr4	67558727	67607337	+	ENSG00000035720
chr4	67612652	67701155	-	ENSG00000033178
chr4	67737118	67754388	-	ENSG00000109163
chr4	67820876	67884002	-	ENSG00000153802
chr4	67909395	67963493	-	ENSG00000187054
chr4	68053198	68129869	-	ENSG00000198092
chr4	68226653	68245694	-	ENSG00000185873
chr4	68310387	68350090	-	ENSG00000083896
chr4	68447463	68497604	+	ENSG00000087128
chr4	68537173	68576322	-	ENSG00000197888
chr4	68646597	68670652	-	ENSG00000196620
chr4	68815994	68832023	+	ENSG00000109181
chr4	68928463	68951804	-	ENSG00000135220
chr4	69096474	69112987	+	ENSG00000171234
chr4	69199951	69214748	-	ENSG00000213759
chr4	69280475	69295050	+	ENSG00000135226
chr4	69480165	69495905	-	ENSG00000156096
chr4	69588417	69639642	-	ENSG00000271271
chr4	69588417	69653247	-	ENSG00000173610
chr4	69721167	69760620	-	ENSG00000173597
chr4	69810780	69847786	-	ENSG00000284695
chr4	69841212	69860145	-	ENSG00000109193
chr4	69931068	69946574	+	ENSG00000126545
chr4	69955256	69965728	-	ENSG00000135222
chr4	69995966	70002570	+	ENSG00000126549
chr4	70028459	70036538	+	ENSG00000205649
chr4	70050438	70058848	+	ENSG00000126550
chr4	70154237	70166609	+	ENSG00000187533
chr4	70195725	70204576	+	ENSG00000109205
chr4	70226124	70235252	+	ENSG00000181617
chr4	70242597	70251432	+	ENSG00000171209
chr4	70334981	70337116	+	ENSG00000145309
chr4	70360760	70367158	+	ENSG00000109208
chr4	70383131	70390244	+	ENSG00000171201
chr4	70397940	70410195	+	ENSG00000171199
chr4	70472197	70482997	+	ENSG00000171195
chr4	70518569	70532743	+	ENSG00000187689
chr4	70592256	70607288	+	ENSG00000178522
chr4	70628744	70646824	+	ENSG00000132464
chr4	70655541	70666508	-	ENSG00000132465
chr4	70688532	70690551	+	ENSG00000132467
chr4	70721964	70808619	+	ENSG00000018189
chr4	70815783	70839890	-	ENSG00000132463
chr4	70902369	70988168	+	ENSG00000173542
chr4	70993649	71030914	+	ENSG00000156136
chr4	71187259	71572083	+	ENSG00000080493
chr4	71741697	71784079	-	ENSG00000145321
chr4	72032000	72148305	+	ENSG00000056291
chr4	72280969	72569221	-	ENSG00000156140
chr4	73052362	73069716	-	ENSG00000163626
chr4	73073376	73258798	-	ENSG00000132466
chr4	73404287	73421482	+	ENSG00000163631
chr4	73436221	73456174	+	ENSG00000081051
chr4	73481745	73504001	+	ENSG00000079557
chr4	73571550	73620436	-	ENSG00000169435
chr4	73740569	73743716	+	ENSG00000169429
chr4	73836678	73838760	+	ENSG00000124875
chr4	73853296	73854483	+	ENSG00000109272
chr4	73869393	73871308	+	ENSG00000163739
chr4	73980811	73982027	-	ENSG00000163737
chr4	73981074	73988160	-	ENSG00000288796
chr4	73986439	73988190	-	ENSG00000163736
chr4	73995642	73998677	-	ENSG00000163735
chr4	74036589	74038689	-	ENSG00000163734
chr4	74097040	74099195	-	ENSG00000081041
chr4	74158118	74303099	+	ENSG00000163738
chr4	74308470	74316789	+	ENSG00000182585
chr4	74365145	74388749	+	ENSG00000124882
chr4	74445136	74455005	+	ENSG00000109321
chr4	74744759	74794523	-	ENSG00000174808
chr4	74933116	75050113	+	ENSG00000169116
chr4	75479033	75514403	-	ENSG00000163743
chr4	75514473	75530026	+	ENSG00000174796
chr4	75556066	75564817	+	ENSG00000174792
